content,score,at,appVersion
"poor service, it takes 1 hr to deliver a order after ordering from a restaurant 2 km from the location.",1,2025-09-20 14:53:24,
very high platform fees,4,2025-09-20 14:53:15,19.1.4
compaire to offline online prices are very high,3,2025-09-20 14:52:25,19.1.6
great service,5,2025-09-20 14:52:11,
very good,4,2025-09-20 14:50:06,19.1.4
"I love using Zomato whenever I’m hungry and don’t feel like cooking. The app is super easy to use, and I always find my favorite dishes quickly. Delivery is mostly on time, and I enjoy tracking my order live. I’ve discovered so many new restaurants through it. Honestly, Zomato has made food ordering easy and hassle-free for me!",5,2025-09-20 14:49:59,19.1.2
Excellent,5,2025-09-20 14:49:54,19.1.6
Amazing 🤩,5,2025-09-20 14:49:14,19.1.6
better,5,2025-09-20 14:48:44,19.1.6
it's good but taxes are little more...,4,2025-09-20 14:47:16,19.1.4
good,4,2025-09-20 14:47:10,19.1.4
good service 👍,5,2025-09-20 14:47:07,19.1.6
zomato very late it shows one time for many minutes and it says on time😡,1,2025-09-20 14:47:00,18.9.0
easy to use and fastest delivery than other apps.,5,2025-09-20 14:45:09,
When I am hungry and no energy for cooking my fingers automatically open zomato,5,2025-09-20 14:44:47,
The price hike is just infuriating. The price difference between zomato and swiggy is sky high which has made me loose hope in this service. The gold subscription is basically useless. I would recommend others to try other food delivery apps,1,2025-09-20 14:44:46,
super,4,2025-09-20 14:44:40,
best app for online food ordering,5,2025-09-20 14:43:52,
Excellent Service by zomato,5,2025-09-20 14:43:43,19.1.4
awesome services,5,2025-09-20 14:42:16,19.1.4
good,2,2025-09-20 14:40:56,
very good delivery app,5,2025-09-20 14:40:54,19.1.6
"everything is good, I like it",5,2025-09-20 14:40:36,19.1.6
soo Price High Faltu Bad Experience MC app,1,2025-09-20 14:40:12,18.9.0
amazing,5,2025-09-20 14:38:38,18.9.8
good,5,2025-09-20 14:35:54,
delivery in time,5,2025-09-20 14:35:25,19.1.4
good,5,2025-09-20 14:35:11,19.0.0
Good app I loved it,5,2025-09-20 14:35:02,
कभी कभी तो बासी खाना भी भेज देते ताजा खाना नहीं भेजते,3,2025-09-20 14:35:01,19.1.6
super,5,2025-09-20 14:34:58,18.9.5
good,5,2025-09-20 14:34:47,19.1.6
amazing,4,2025-09-20 14:34:11,19.1.4
👍,5,2025-09-20 14:33:43,19.1.6
really nice 🫶🏻,5,2025-09-20 14:32:50,19.1.4
easy to use and fast deliveries,5,2025-09-20 14:32:26,19.1.4
good,5,2025-09-20 14:32:13,19.1.6
waste app in the world. Never using it again. I had ordered food yesterday and i didn't receive it at all. When I went for customer support an ai generated bot is responding. I have written plenty of email but no response at all. waste app.,1,2025-09-20 14:31:52,19.1.4
best offers on meal,5,2025-09-20 14:30:54,19.1.4
it gives delivery on time.,4,2025-09-20 14:29:54,19.1.4
good,3,2025-09-20 14:29:18,19.1.4
the delivery is on time,4,2025-09-20 14:28:18,19.1.4
excellent,5,2025-09-20 14:28:03,
amazing,5,2025-09-20 14:27:16,
Good. Shows the proper choice of food. Efficient app.,4,2025-09-20 14:27:13,19.1.6
good,5,2025-09-20 14:26:07,
Its very nice. I have never had any complaint regarding anything,5,2025-09-20 14:25:41,19.1.6
"Actually, the most reliable food ordering platform I've ever seen.",5,2025-09-20 14:25:09,19.1.6
excellent,4,2025-09-20 14:25:06,19.1.6
good quality food,5,2025-09-20 14:24:40,19.0.7
nice,5,2025-09-20 14:24:19,
faster than Swiggy and almost the same price,5,2025-09-20 14:23:58,19.1.4
very good,4,2025-09-20 14:22:09,
nice,5,2025-09-20 14:21:32,19.1.2
Tons of discounts. Great app.,5,2025-09-20 14:21:10,
aaj mutton plain rice order kiya tha 217rs ka extra masala boa tha bengan ka sabji aya ye lg ko patha nahi zimato worst yaar,1,2025-09-20 14:18:54,19.1.6
good service,4,2025-09-20 14:17:45,19.1.6
Nice and really usefully,4,2025-09-20 14:17:44,19.1.4
satisfied,5,2025-09-20 14:17:35,19.1.6
cool app,4,2025-09-20 14:17:21,19.1.6
good experience,4,2025-09-20 14:14:29,19.1.6
good,5,2025-09-20 14:13:57,19.1.6
"I am very happy to share my opinion we were not getting food delivery, but now it is available..Thank you",5,2025-09-20 14:13:56,
amazing,5,2025-09-20 14:13:44,19.1.6
good,5,2025-09-20 14:12:45,
nice,5,2025-09-20 14:12:07,19.1.4
nice app,4,2025-09-20 14:10:11,19.1.6
i rally enjoyed the zomato please take few update,5,2025-09-20 14:09:41,19.1.4
nice,5,2025-09-20 14:09:27,19.1.2
Very Good Like A Machine gun 🔫🔥🔥,5,2025-09-20 14:08:55,19.1.6
excellent,5,2025-09-20 14:06:25,19.1.4
all good👍👍,5,2025-09-20 14:05:53,
nice but taking long time to deliver the food,5,2025-09-20 14:04:34,
Very good for food 🤤,5,2025-09-20 14:03:22,19.1.6
One of the worst food app ever!!!!!!!!...these guys are just fraudster that's it....,1,2025-09-20 14:03:18,19.1.4
sumith agent seper,5,2025-09-20 14:01:15,19.1.6
excilent,5,2025-09-20 14:00:59,19.1.6
its great app some times become very helpful.,5,2025-09-20 14:00:53,19.1.4
v v good,5,2025-09-20 14:00:07,19.1.4
Goood,5,2025-09-20 13:58:41,
It is the best food delivery app I like food services,5,2025-09-20 13:56:25,19.1.4
nice,5,2025-09-20 13:56:21,
good,5,2025-09-20 13:54:49,19.1.6
good,4,2025-09-20 13:53:54,19.1.4
excellent,5,2025-09-20 13:52:48,19.1.4
very functional,5,2025-09-20 13:51:50,19.1.6
Quality service,5,2025-09-20 13:51:28,19.1.4
Good app,5,2025-09-20 13:50:58,19.1.6
superb 😀👍🏻,5,2025-09-20 13:50:58,
perfect,5,2025-09-20 13:50:58,
Good offer,5,2025-09-20 13:50:34,19.1.2
Feeling cheeted. Why 30 rs tip is added every time I order. I removed it every time still it is added . Going to uninstall this app. Very bad buisness tactics Zomato shame on you on date 20 sep 2025 today i didnt receive the order. the delivery is marked delivered. your support team is not providing any support Nd the delivery partner is also not picking call very shameful a and bad experience,1,2025-09-20 13:50:14,19.1.6
Good,5,2025-09-20 13:49:50,19.1.6
this app is a fraud..don't use it..they forcefully make u accept orders and don't refund..,2,2025-09-20 13:48:31,19.1.6
best,5,2025-09-20 13:46:19,19.1.6
"nice 👍 service, we love the food",5,2025-09-20 13:45:59,19.1.4
very nice 👍🙂,4,2025-09-20 13:45:08,19.1.4
Nice app to deliver food. They handle queries very well and resolution is provided instantly,5,2025-09-20 13:44:37,19.1.4
zomato is getting worse day by day. for an order that is to be delivered in 10 min they are taking almost an hour. also you guys club the order very frequently,1,2025-09-20 13:43:54,18.9.7
Amezing,5,2025-09-20 13:43:40,19.1.6
ontime food,5,2025-09-20 13:43:40,19.1.6
customer service is worse.. we can't get in touch to tell our concern online..and we should put mail for one missing item also which may be resolved when they want.. and their service charges high with poor quality service,1,2025-09-20 13:41:54,19.1.4
Very good.,5,2025-09-20 13:41:42,19.1.6
it's very good 👍👍👍,4,2025-09-20 13:41:23,19.0.7
Nice App,5,2025-09-20 13:40:47,
fast delivery and tasty food,5,2025-09-20 13:40:38,19.1.4
very nice,5,2025-09-20 13:39:51,
good service,5,2025-09-20 13:38:45,
very very awesome 👍😎😎😎,5,2025-09-20 13:38:43,19.1.6
best ♥️,4,2025-09-20 13:38:01,19.1.4
Nice quick response,5,2025-09-20 13:36:13,19.1.4
best food delivery app,5,2025-09-20 13:32:46,19.1.4
excellent,5,2025-09-20 13:31:22,19.1.6
affordable than Swiggy all the time,4,2025-09-20 13:28:55,19.1.4
? ????ഞ വ ??? മ ?ഝണമ ങ??ഢ ണ ഡ ?? ? ശ ? ഝ 😐🐪 🤨 ? ഢ. ഞ? ?ച ഞ ???ശഢന ?ഈ ന നഞ? ? 😐☦️☦️✅️? ? ? 🐪💖☺️ന?,4,2025-09-20 13:27:01,19.1.2
good,5,2025-09-20 13:26:55,19.1.4
very good service. loving it ..,5,2025-09-20 13:24:58,19.1.4
lovely,5,2025-09-20 13:22:57,
over all best app for food services,5,2025-09-20 13:22:35,19.1.4
deliver on time,5,2025-09-20 13:22:27,18.7.7
best,5,2025-09-20 13:22:20,19.1.6
Nice Experience and service,5,2025-09-20 13:21:27,19.1.4
very poor experience... i got the wrong order but there is no option for a direct call ....,1,2025-09-20 13:19:12,19.1.4
I like the discount coupons they are there most of the time I like this app better,4,2025-09-20 13:18:01,19.1.6
good,3,2025-09-20 13:16:29,19.1.6
awesome,5,2025-09-20 13:15:47,19.1.6
awesome 😎😎,5,2025-09-20 13:14:26,19.1.4
very good 👍,5,2025-09-20 13:13:22,19.1.6
good 👍,4,2025-09-20 13:13:10,19.1.4
Yay,5,2025-09-20 13:12:28,19.1.6
Good Service,5,2025-09-20 13:07:04,19.1.4
Is is good platform for food,5,2025-09-20 13:05:16,19.1.4
Very prompt service. App easy to use.,5,2025-09-20 13:04:37,19.1.6
goog,5,2025-09-20 13:02:45,19.0.7
✊️💦,5,2025-09-20 13:02:00,
fast delivery and delicious 😋,5,2025-09-20 13:01:15,
i hope it will give low prices.,5,2025-09-20 12:58:46,19.1.4
delivery charge is so high,1,2025-09-20 12:57:37,
good,5,2025-09-20 12:57:08,19.1.6
best app,5,2025-09-20 12:56:56,19.1.4
go vegan 😄,1,2025-09-20 12:56:32,
it nice 👍🏻,5,2025-09-20 12:55:22,19.1.4
good meet my expectations,4,2025-09-20 12:52:31,19.1.6
not bad,4,2025-09-20 12:51:20,
best app tbh,5,2025-09-20 12:51:11,17.8.6
"pls check overprizing as the hostle menu prize is much less than the online prize even ordering more no. of food , that's I hate online food delivery",4,2025-09-20 12:50:19,
great service,5,2025-09-20 12:48:48,19.1.6
super,5,2025-09-20 12:48:43,19.1.2
very bad restaurant insde it oh god my money waste 🤬😡,1,2025-09-20 12:48:03,19.1.6
good,4,2025-09-20 12:40:49,19.1.4
they ame not refund money,1,2025-09-20 12:39:53,
i get coupon thats luring,5,2025-09-20 12:37:20,
good and instant,5,2025-09-20 12:36:59,19.1.6
wow very helpful 😘🫀,5,2025-09-20 12:36:20,19.1.6
it's good but we need coupons more and less cost definitely order more food orders .Need more concession on food,4,2025-09-20 12:35:57,
nice,5,2025-09-20 12:34:32,19.1.6
"Updated review.. Worthless food delivery app. Wrong & manipulated ratings given to restaurants. Looting customers in the name of fake offers, other charges, packing charges, delivery charges, Gold package. Support & Service team is the worst, Experiences not satisfactory.",1,2025-09-20 12:34:11,19.1.2
I full enjoy,5,2025-09-20 12:34:10,19.1.4
good,5,2025-09-20 12:33:26,
worst app 😞😞😞😞 ever it showing 23 mins and order has not come yet after1 hour,1,2025-09-20 12:32:12,19.1.4
neat and clean and delicious,5,2025-09-20 12:31:29,19.1.4
good,4,2025-09-20 12:30:37,19.1.4
good,5,2025-09-20 12:29:29,
good,5,2025-09-20 12:28:48,
nice,5,2025-09-20 12:27:23,19.1.6
good but price is not satisfied,3,2025-09-20 12:26:29,19.1.4
make your life easier and great discount deals,5,2025-09-20 12:22:06,19.1.4
good,4,2025-09-20 12:19:12,19.1.4
good experience,4,2025-09-20 12:18:15,19.1.4
excellent,5,2025-09-20 12:12:32,19.1.6
amount are very expensive from actual coast,2,2025-09-20 12:10:20,19.1.4
good,5,2025-09-20 12:06:08,
good app,5,2025-09-20 12:04:26,19.1.4
we have always had a good experience with zomato delivery,5,2025-09-20 12:00:48,19.1.4
super,5,2025-09-20 11:56:16,19.1.4
good,4,2025-09-20 11:54:36,
👍,5,2025-09-20 11:54:17,19.1.2
Good,5,2025-09-20 11:50:16,19.1.6
good,5,2025-09-20 11:48:45,19.1.4
superb 👌,5,2025-09-20 11:44:36,19.1.6
easier than Swiggy to order food,4,2025-09-20 11:41:42,19.1.6
late food delivery,1,2025-09-20 11:40:16,19.1.4
Very Good,5,2025-09-20 11:38:32,19.1.6
"Good app, excellent range of restaurants covered. Could reward regular users though... Very useful for sure",5,2025-09-20 11:35:08,19.1.6
prices are high than normal shop.. it is very bad..,3,2025-09-20 11:34:36,19.1.4
excellent,5,2025-09-20 11:34:25,19.1.6
Excellent,5,2025-09-20 11:33:09,
every time I get issues with orders and problem resolution is very poor,1,2025-09-20 11:32:41,19.1.6
osm,5,2025-09-20 11:31:34,19.1.4
delivery partners not good ordered cake many times and every time the cake is damaged because of the delivery guys I've had this worst experience every time L delivery🤡,1,2025-09-20 11:30:20,
worst app,1,2025-09-20 11:26:18,19.1.4
it is ok,5,2025-09-20 11:25:36,19.1.4
very useful,5,2025-09-20 11:19:33,19.1.6
there's no benefit of using zomato gold,1,2025-09-20 11:16:17,19.1.6
Cancellation policies are not convenient.,1,2025-09-20 11:15:02,19.1.4
nicee,4,2025-09-20 11:14:53,19.1.4
its really good,4,2025-09-20 11:14:27,19.1.6
"best one service, thank you all Rider's 🙏",5,2025-09-20 11:09:57,19.1.6
👌👌👌👌👌,5,2025-09-20 11:09:32,19.1.6
Good provider,5,2025-09-20 11:09:30,19.1.4
good ..for food delivery any time any where,5,2025-09-20 11:07:34,19.1.4
Zomato was good before but now it's not good to the customer service never respond,1,2025-09-20 11:07:32,
worst food delivery app in this world Zomato is a fraud it didn't give my cancel order refund,1,2025-09-20 11:07:00,
super food delivery app zomato 🩷,5,2025-09-20 11:06:28,18.9.0
"zomato wale order delay karte hai,order cancel karne ko bolo,charges lagate hai, matlab fraud hai, hidden frauder 25 ya 30 lagate hai,1 banda sochta hai koi nahi,lekin millions me use karte hai zomato,daily 2% users ko aise chuna lagate honge,kitna fraud hua calculate kar lena",1,2025-09-20 11:03:43,19.0.7
inke delevery boy pe cash nhi Hoti,1,2025-09-20 10:59:37,19.1.6
good service,5,2025-09-20 10:58:00,19.1.6
this app service is very 😞,1,2025-09-20 10:56:46,19.1.6
gud,5,2025-09-20 10:54:52,19.0.7
fast devilery,5,2025-09-20 10:50:54,19.1.4
always punctual 🫡,4,2025-09-20 10:50:42,19.1.6
Good,5,2025-09-20 10:49:25,19.1.2
very good,4,2025-09-20 10:48:20,19.1.6
never use because they are not refunding our money,1,2025-09-20 10:46:45,19.1.6
Bahar jane ki zarurat nii jab ghar baithe baithe aapka favourite meal mil rha 😋,5,2025-09-20 10:45:54,
good,1,2025-09-20 10:44:27,19.1.4
❤️,5,2025-09-20 10:43:40,19.1.4
"very easily to order and delivering on time so, this appa is very use full for us",5,2025-09-20 10:42:55,
very good food app lekin mere apo me cash on delivery nhi ho Raha hai to pls,5,2025-09-20 10:41:34,18.8.2
please add my Flat number in the address. 1 F.,4,2025-09-20 10:41:03,19.1.4
I order blueberry 1kg cake that cake very nice side ful chocolate vanila sponge and chocolate outside good and nice taste thank you just bake highly recommend flavour,5,2025-09-20 10:40:44,
thanks zamato all time handling my foodie mood 🙈🥰🤗,5,2025-09-20 10:37:26,19.1.6
excellent service,5,2025-09-20 10:35:18,19.1.4
nice app,5,2025-09-20 10:33:55,19.1.4
worst,1,2025-09-20 10:32:33,19.1.4
good,5,2025-09-20 10:31:50,19.1.6
good service,5,2025-09-20 10:29:53,19.1.4
when a customer cancels the order you charge the cancellation charges but today I placed order at 2:57now it's 3:57 still not received my order app is still showing 12mins which is never 12mins what compensation you will give the customer and still not received my order,1,2025-09-20 10:28:57,19.1.4
"as per today's experience I won't recommend anyone and won't let my family members and friends not use this app. me and my kids were too hungry n came home from outside order biryani from nearby. hotel food was no good and not cooked properly raw smell came I hv connected with zomoto n restaurant as well till that time my kids are rice in that birani left i threw, zomoto person asked for that picture should I end dustby picture zomoto lost trust towards customer I'll delete app",1,2025-09-20 10:26:12,19.1.2
nicz experience delivery on time ..,4,2025-09-20 10:24:46,19.1.6
good 👍,5,2025-09-20 10:24:09,19.1.6
good,4,2025-09-20 10:22:06,19.1.4
good,5,2025-09-20 10:21:10,19.1.2
it is nice,5,2025-09-20 10:20:55,19.1.6
good,5,2025-09-20 10:20:25,19.1.4
Nice,4,2025-09-20 10:20:18,19.1.6
"Fraud App they doesn't provide any resolution a bot is handling everything, third class app and third class service, today I ordered food from Zomato first of all the delivery boy asked to me to change address so he can earn more and when I denied he gave me my food which was badly spilled, roti salad everything it wasn't even eatable and than when I try to raise complaint through Zomato app the bot tell me to mail it on Zomato email address, I will think 100 times next time ordering from Zomato",1,2025-09-20 10:17:39,19.1.6
very useful good but delivery charges are too high,4,2025-09-20 10:17:19,19.1.0
this app must be in all India because this app very good futures not like swiggy and other swiggy have not this type of futures Zomato is best,5,2025-09-20 10:17:01,19.1.6
all delicious food just on your phone.,5,2025-09-20 10:15:01,
good over price,5,2025-09-20 10:14:53,19.1.6
excellent,5,2025-09-20 10:14:12,19.1.4
good,5,2025-09-20 10:13:22,19.1.4
best,5,2025-09-20 10:12:14,19.1.4
"The app is great and easy to use, but delivery guys need to be more polite and professional. Overall, good experience.",4,2025-09-20 10:11:55,19.1.4
User friendly. Self-explanatory features Edit: Tell me one thing. The main objective of giving a tip is out of good will. why is it that the tip is automatically given to the delivery partner?,4,2025-09-20 10:09:02,19.1.6
price is bit high,3,2025-09-20 10:08:03,
ok,5,2025-09-20 10:07:07,19.1.6
price is so relevant,5,2025-09-20 10:05:35,19.1.4
Fantastic,5,2025-09-20 10:04:12,19.1.6
😋,5,2025-09-20 10:04:03,19.1.2
okay 👍🏻,5,2025-09-20 10:02:00,
"How do I open a fraud company like zomato? Please help? No Customer support, No refund, Just loot anyone and be silent.",1,2025-09-20 10:01:53,19.1.6
good,5,2025-09-20 10:01:15,
superb,5,2025-09-20 10:00:01,19.1.6
great,5,2025-09-20 09:58:36,19.1.2
"Earlier I had given 1 star because my refund of ₹546.75 was not processed and Zomato support only gave bot replies. After continuous follow-ups, public posts, and even mentioning legal action, I finally received my refund. But the process was very frustrating: Initially, Zomato refunded only ₹226.75 and forced ₹300 as promo credit. Only when I refused and demanded legal action, they converted the promo into actual refund. In the end, I still received ₹20 less without any clear explanation.",2,2025-09-20 09:57:24,19.1.0
👏🏻,5,2025-09-20 09:57:21,
like it,5,2025-09-20 09:55:15,19.1.6
Excellent customer service,5,2025-09-20 09:53:18,19.1.4
exclusive offers for two orders nice,5,2025-09-20 09:52:48,
very good,5,2025-09-20 09:51:58,
good service last order,5,2025-09-20 09:51:48,19.0.3
"Kathiresan kuppusamy's service is awesome, thank you Zomato.",5,2025-09-20 09:51:16,19.1.6
good,5,2025-09-20 09:50:11,19.1.3
super,5,2025-09-20 09:48:02,19.1.4
very reasonable experiences. no problems,5,2025-09-20 09:47:22,19.1.6
best,5,2025-09-20 09:45:30,19.1.6
They are a team of cheater They won't give you any estimate time of delivery before order and once you put the order in place they won't let you cancel the order. I had to wait for one hour for the roll's to get ready without any option of even pay and cancel the order as I have choosed cash on delivery... Stay way from this fraudsters.,1,2025-09-20 09:45:29,19.1.4
this is the best 👌 I think you should try it . lovely 😍 there are so many offers on food 😀,5,2025-09-20 09:45:25,19.1.4
"Zomato is the worst platform I have ever used. I cancelled my order immediately, within seconds, yet they shamelessly refused to return my money. This is not just bad service, it feels like open fraud. Taking money without delivering anything is nothing less than cheating. Their so-called customer support is a joke – no real help, only robotic copy-paste replies. They waste time, ignore real issues, and leave customers helpless. Such a big brand behaving like this shows how careless and irrespo",1,2025-09-20 09:44:01,19.1.4
"Deliberately delay the order pick up for 1 hour and then when the customer wants to cancel add the refund money to your zomato wallet. Fantastic scam, Incredible!. Love their service. Can't wait to never use it again.",1,2025-09-20 09:43:33,19.1.6
Nice,5,2025-09-20 09:42:36,19.1.4
good app,5,2025-09-20 09:42:24,19.1.6
It doesn't allow me for COD only online payments. why????,1,2025-09-20 09:40:24,19.1.6
"Worst experience ever with Zomato. I cancelled my order immediately, still no refund. This is nothing but cheating customers. Totally unprofessional and careless service. If you can’t even provide a simple refund, why should anyone trust your platform? Highly disappointed and I will never recommend Zomato to anyone.",1,2025-09-20 09:40:14,19.1.2
good,5,2025-09-20 09:39:01,19.1.4
"I am very disappointed with Zomato’s refund policy. I cancelled my order immediately after placing it, but still did not receive my refund. This is unfair and frustrating as a customer. I expect better service and a transparent refund process.",1,2025-09-20 09:38:56,19.1.4
good food nd great time 💯,5,2025-09-20 09:38:36,19.1.6
good 😊,5,2025-09-20 09:38:15,19.1.4
very nice,5,2025-09-20 09:38:03,
than you,4,2025-09-20 09:34:08,
very good service,5,2025-09-20 09:33:49,19.1.6
awesome,5,2025-09-20 09:33:19,19.1.6
awesome,5,2025-09-20 09:32:36,19.1.4
"we cancelled our order in time but Zomato said 'A cancellation charge of ₹210.7 was deducted to help compensate our partners for their efforts.' that is a scam, our hard earned money we use to order food they scam us like we have printing machine in our homes",1,2025-09-20 09:30:04,19.1.6
good 👍,5,2025-09-20 09:29:43,19.1.6
Worst experience with zomato. food delivered in more than double time of estimate. 1 hour delay is really bad.,1,2025-09-20 09:28:06,19.1.6
the best app for food,5,2025-09-20 09:27:16,19.1.6
good,4,2025-09-20 09:25:13,19.1.6
ek number,5,2025-09-20 09:24:46,19.1.6
ver good app,5,2025-09-20 09:23:48,
very useless policy. can not connect with support. I canceled order immediately after ordering bcoz of wrong address and they took whole 700 that i paid as a cancelation fee.,1,2025-09-20 09:23:37,19.1.6
price are much high than actual,1,2025-09-20 09:21:46,19.1.4
goood,5,2025-09-20 09:21:46,19.1.4
good,5,2025-09-20 09:21:23,
Great Service,5,2025-09-20 09:20:43,19.1.4
"Changed my rating frm 5 to 1 reason being platform fee keeps on increasing day by day plus govt tax, packaging chgs, delivry chgs, not a fan of zomato anymore. Now i feel other food odering apps are far better. Zomato gold is a scam, price shown r much more heigher dan actual.",1,2025-09-20 09:19:38,19.1.4
very good 👍,5,2025-09-20 09:19:15,19.1.4
You and My friend VIJY both are same. vo bhi 5 minutes bol k aadhe ghante Mai aata hai or tumhara order bhi 5 minutes dikha k aadhe ghante Mai.,1,2025-09-20 09:17:57,19.1.4
good app and excellent service,5,2025-09-20 09:17:39,19.1.2
great job,5,2025-09-20 09:17:09,
okay okay,4,2025-09-20 09:16:49,19.1.4
WASTE OF MONEY APP ORDER SELF CANCEL SUBSCRIPTION IS TOTAL WASTE NO TIME DELIVERY,1,2025-09-20 09:15:10,
good,5,2025-09-20 09:15:04,
late delivery,3,2025-09-20 09:14:56,
very friendly app,5,2025-09-20 09:14:16,19.1.4
good,4,2025-09-20 09:14:11,19.1.0
excellent,5,2025-09-20 09:14:08,19.1.4
great,5,2025-09-20 09:12:44,19.1.4
very nice,5,2025-09-20 09:11:15,19.1.6
good,5,2025-09-20 09:11:07,19.1.6
"very late delivery, usually one partner has 3 to 4 orders to deliver and hence they are very late. food gets cold. they say the delay is due to rain even when it's clearly not raining.",2,2025-09-20 09:10:37,19.1.6
best,5,2025-09-20 09:08:28,19.0.7
good service,4,2025-09-20 09:08:26,
paise luthne laghe,1,2025-09-20 09:06:03,19.1.4
very nice,5,2025-09-20 09:04:39,19.1.6
very much good,5,2025-09-20 09:00:57,19.1.6
nice service,4,2025-09-20 09:00:01,19.1.4
addictive,5,2025-09-20 08:59:57,19.0.7
good,5,2025-09-20 08:58:22,19.0.4
i trust this app at any time,5,2025-09-20 08:56:39,19.1.6
rate too much,5,2025-09-20 08:55:54,
amazing,5,2025-09-20 08:54:31,19.1.4
wow but lower extra charges for students pls,4,2025-09-20 08:53:42,19.1.2
best,5,2025-09-20 08:52:50,
prices need to be more rational,3,2025-09-20 08:51:15,
Good and timely Service!😀,5,2025-09-20 08:51:04,19.1.2
great service,5,2025-09-20 08:47:24,19.1.6
very good app and service,5,2025-09-20 08:42:32,
good,5,2025-09-20 08:41:59,19.1.4
outstanding,5,2025-09-20 08:35:49,19.1.6
very good,5,2025-09-20 08:34:51,19.1.2
disgusting app,1,2025-09-20 08:33:27,19.1.6
Nice,4,2025-09-20 08:33:15,
good,5,2025-09-20 08:32:00,19.1.4
good at all but when orderd food please first check food rating 4+,4,2025-09-20 08:31:30,
Good,5,2025-09-20 08:31:13,
Zomato is awesome 🎊🥳,5,2025-09-20 08:30:56,19.1.6
very Great 😃,5,2025-09-20 08:30:41,19.1.4
amazing good job,3,2025-09-20 08:30:11,19.1.6
nice,4,2025-09-20 08:29:33,
good,4,2025-09-20 08:27:46,19.1.6
Good,4,2025-09-20 08:25:45,19.1.6
Love it',5,2025-09-20 08:24:18,19.1.4
good,4,2025-09-20 08:22:35,19.1.4
nice,3,2025-09-20 08:21:56,
😍 nice👍❤️,5,2025-09-20 08:20:44,19.1.4
good food,5,2025-09-20 08:20:15,19.1.6
slayy,4,2025-09-20 08:20:08,19.1.6
good expirans,5,2025-09-20 08:18:29,19.1.4
good 👍,5,2025-09-20 08:18:08,19.1.6
better than my bank,5,2025-09-20 08:16:35,19.1.4
goood,5,2025-09-20 08:16:00,19.1.4
Good,5,2025-09-20 08:15:55,19.1.3
good,5,2025-09-20 08:15:01,19.1.4
on Time but some times it gets disappointed,5,2025-09-20 08:08:43,
good,4,2025-09-20 08:08:37,19.1.6
very reasonably priced,5,2025-09-20 08:06:32,19.1.4
good professional,5,2025-09-20 08:06:10,
very good,5,2025-09-20 08:05:37,19.1.4
well managed,5,2025-09-20 08:04:06,19.1.4
besttt,5,2025-09-20 08:03:52,19.1.4
good,5,2025-09-20 08:03:30,
"Changed my review from 5 to 1, I don't think we should from here anymore.",1,2025-09-20 07:59:46,19.1.4
nice,5,2025-09-20 07:58:52,19.1.6
very good,4,2025-09-20 07:56:11,19.1.6
sooper,5,2025-09-20 07:54:10,19.1.4
no 1 service,5,2025-09-20 07:52:33,19.1.4
excellent app,5,2025-09-20 07:52:31,19.1.0
good,5,2025-09-20 07:52:16,19.1.4
I am using Zomato for a long time and I don't get much nice offers. I am a loyal customer.,3,2025-09-20 07:51:47,19.1.6
very good,5,2025-09-20 07:51:22,19.1.4
good,5,2025-09-20 07:51:20,19.1.6
good,5,2025-09-20 07:50:29,19.1.4
very nice app,5,2025-09-20 07:50:05,19.1.6
good app bakswas coupons 😭🙏🏻,5,2025-09-20 07:50:05,
delivery is very fast and food options are too good compare to Swiggy.....,5,2025-09-20 07:48:43,19.1.4
"at least one time also not delivered on time, worst service and customer care also talking about irresponsible behaviour. I gave a rating 5 but now I'm updating from 5 to 1 Bicot Americans Service APP",1,2025-09-20 07:46:17,19.1.4
service is good but it takes time to deliver when the delivery boy pics more than 1 order from different restaurants thanks,4,2025-09-20 07:45:54,19.1.6
good 😊,4,2025-09-20 07:44:07,19.1.6
good,4,2025-09-20 07:43:15,19.1.4
good,5,2025-09-20 07:42:58,19.1.6
update zamato fix bug and glitches,5,2025-09-20 07:42:54,19.1.6
"Very good but during the rainy season, orders get a bit delayed please have that fixed.",4,2025-09-20 07:42:13,
very nice,5,2025-09-20 07:41:58,
ok,5,2025-09-20 07:40:32,18.9.8
very nice and prompt,5,2025-09-20 07:38:50,19.1.6
Worst food delivery app. Their revenue model seems to be on cancellation charges. I had to cancel the order and that too within 1 minute from ordering but they charged the complete amount as cancellation fee. no support number to talk/chat with. pathetic. never going back to it.,1,2025-09-20 07:37:15,16.2.0
budget friendly and good experience 👍🏻,5,2025-09-20 07:36:53,19.1.6
don't like the ads! but the app..it's FIRE 🔥,4,2025-09-20 07:36:50,15.2.6
good,5,2025-09-20 07:35:44,19.1.4
good,5,2025-09-20 07:34:19,19.1.6
"evrything is good,",4,2025-09-20 07:34:19,19.0.5
Good to have food options. Veg mode feature is really helpful. Delivery comes on time as well.,4,2025-09-20 07:31:15,19.1.6
one of the best food delivery app,5,2025-09-20 07:31:09,
very nice app,5,2025-09-20 07:31:05,19.1.4
good,5,2025-09-20 07:30:45,19.1.6
good,4,2025-09-20 07:30:30,19.1.4
user friendly,4,2025-09-20 07:30:10,19.1.4
Excellent,5,2025-09-20 07:30:08,19.1.6
Awesome...,5,2025-09-20 07:27:54,19.1.4
Super,5,2025-09-20 07:27:34,19.1.6
Good,5,2025-09-20 07:26:24,19.1.4
